responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,experiment,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
648,"NA",-1,534,170,"NA","Cristina","","","","","","","",1745760175940,1745760229443,53503
698,"NA",-1,548,167,"NA","Cristina","","","","","","","","","",""
748,"NA",-1,557,159,"NA","Cristina","","","","","","","","","",""
798,"NA",-1,558,158,"NA","Cristina","","","","","","","","","",""
848,"NA",-1,560,157,"NA","Cristina","","","","","","","","","",""
898,"NA",-1,561,157,"NA","Cristina","","","","","","","","","",""
949,"NA",-1,575,155,"NA","Cristina","","","","","","","","","",""
999,"-1","0",601,151,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1048,"-1","0",611,150,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1099,"-1","0",625,139,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1149,"-1","0",625,138,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1198,"-1","0",625,138,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1248,"-1","0",625,138,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1298,"-1","0",625,138,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1348,"-1","0",625,138,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1398,"-1","0",625,138,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1448,"-1","0",626,138,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1499,"-1","0",637,146,"Da","Cristina","trial"," Maya ",128.03125,595.625,152.03125,646.015625,"","","",""
1549,"-1","1",647,146,"Da","Cristina","trial"," s-a ",128.03125,646.015625,152.03125,675.21875,"","","",""
1598,"-1","1",670,143,"Da","Cristina","trial"," s-a ",128.03125,646.015625,152.03125,675.21875,"","","",""
1648,"-1","2",687,140,"Da","Cristina","trial"," jucat ",128.03125,675.21875,152.03125,720.90625,"","","",""
1698,"-1","3",724,140,"Da","Cristina","trial"," cu ",128.03125,720.90625,152.03125,745.359375,"","","",""
1749,"-1","4",754,140,"Da","Cristina","trial"," cuburile ",128.03125,745.359375,152.03125,818.875,"","","",""
1798,"-1","4",768,140,"Da","Cristina","trial"," cuburile ",128.03125,745.359375,152.03125,818.875,"","","",""
1848,"-1","4",776,140,"Da","Cristina","trial"," cuburile ",128.03125,745.359375,152.03125,818.875,"","","",""
1898,"-1","4",789,137,"Da","Cristina","trial"," cuburile ",128.03125,745.359375,152.03125,818.875,"","","",""
1948,"-1","4",806,137,"Da","Cristina","trial"," cuburile ",128.03125,745.359375,152.03125,818.875,"","","",""
1998,"-1","5",825,139,"Da","Cristina","trial"," și ",128.03125,818.875,152.03125,836.828125,"","","",""
2048,"-1","6",850,144,"Da","Cristina","trial"," mingile, ",128.03125,836.828125,152.03125,909.453125,"","","",""
2098,"-1","6",867,144,"Da","Cristina","trial"," mingile, ",128.03125,836.828125,152.03125,909.453125,"","","",""
2148,"-1","6",897,144,"Da","Cristina","trial"," mingile, ",128.03125,836.828125,152.03125,909.453125,"","","",""
2198,"-1","7",932,144,"Da","Cristina","trial"," dar ",128.03125,909.453125,152.03125,942.75,"","","",""
2248,"-1","8",968,144,"Da","Cristina","trial"," s-a ",128.03125,942.75,152.03125,971.953125,"","","",""
2298,"-1","9",995,145,"Da","Cristina","trial"," plictisit ",128.03125,971.953125,152.03125,1036.546875,"","","",""
2348,"-1","9",1018,146,"Da","Cristina","trial"," plictisit ",128.03125,971.953125,152.03125,1036.546875,"","","",""
2398,"-1","9",1034,146,"Da","Cristina","trial"," plictisit ",128.03125,971.953125,152.03125,1036.546875,"","","",""
2448,"-1","10",1048,146,"Da","Cristina","trial"," repede ",128.03125,1036.546875,152.03125,1100.90625,"","","",""
2498,"-1","10",1066,146,"Da","Cristina","trial"," repede ",128.03125,1036.546875,152.03125,1100.90625,"","","",""
2548,"-1","10",1093,146,"Da","Cristina","trial"," repede ",128.03125,1036.546875,152.03125,1100.90625,"","","",""
2599,"-1","11",1112,146,"Da","Cristina","trial"," de ",128.03125,1100.90625,152.03125,1126.8125,"","","",""
2648,"-1","11",1122,146,"Da","Cristina","trial"," de ",128.03125,1100.90625,152.03125,1126.8125,"","","",""
2698,"-1","12",1139,146,"Da","Cristina","trial"," ele. ",128.03125,1126.8125,152.03125,1156.59375,"","","",""
2748,"-1","12",1144,148,"Da","Cristina","trial"," ele. ",128.03125,1126.8125,152.03125,1156.59375,"","","",""
2798,"-1","12",1148,148,"Da","Cristina","trial"," ele. ",128.03125,1126.8125,152.03125,1156.59375,"","","",""
2848,"-1","12",1149,149,"Da","Cristina","trial"," ele. ",128.03125,1126.8125,152.03125,1156.59375,"","","",""
2899,"NA",-1,1140,180,"NA","Cristina","","","","","","","","","",""
4472,"","","","","","","","","","","","","Da","","",""
476,"NA",-1,617,182,"NA","Cristina","","","","","","","","","",""
526,"NA",-1,613,168,"NA","Cristina","","","","","","","","","",""
576,"-2","0",612,149,"Nu","Cristina","trial"," Pacientul ",128.03125,595.625,152.03125,678.125,"","","",""
626,"-2","0",608,137,"Nu","Cristina","trial"," Pacientul ",128.03125,595.625,152.03125,678.125,"","","",""
676,"-2","0",607,136,"Nu","Cristina","trial"," Pacientul ",128.03125,595.625,152.03125,678.125,"","","",""
726,"-2","0",606,140,"Nu","Cristina","trial"," Pacientul ",128.03125,595.625,152.03125,678.125,"","","",""
776,"-2","0",606,150,"Nu","Cristina","trial"," Pacientul ",128.03125,595.625,152.03125,678.125,"","","",""
826,"-2","0",616,153,"Nu","Cristina","trial"," Pacientul ",128.03125,595.625,152.03125,678.125,"","","",""
876,"-2","0",646,153,"Nu","Cristina","trial"," Pacientul ",128.03125,595.625,152.03125,678.125,"","","",""
926,"-2","1",681,155,"Nu","Cristina","trial"," pe ",128.03125,678.125,152.03125,704.03125,"","","",""
976,"-2","2",719,155,"Nu","Cristina","trial"," care ",128.03125,704.03125,152.03125,744.6875,"","","",""
1026,"-2","3",749,155,"Nu","Cristina","trial"," l-a ",128.03125,744.6875,152.03125,769.90625,"","","",""
1077,"-2","3",767,155,"Nu","Cristina","trial"," l-a ",128.03125,744.6875,152.03125,769.90625,"","","",""
1127,"-2","4",784,155,"Nu","Cristina","trial"," tratat ",128.03125,769.90625,152.03125,821.359375,"","","",""
1176,"-2","4",802,155,"Nu","Cristina","trial"," tratat ",128.03125,769.90625,152.03125,821.359375,"","","",""
1227,"-2","5",829,155,"Nu","Cristina","trial"," doctorul ",128.03125,821.359375,152.03125,897.234375,"","","",""
1278,"-2","5",848,153,"Nu","Cristina","trial"," doctorul ",128.03125,821.359375,152.03125,897.234375,"","","",""
1326,"-2","5",866,153,"Nu","Cristina","trial"," doctorul ",128.03125,821.359375,152.03125,897.234375,"","","",""
1376,"-2","5",888,153,"Nu","Cristina","trial"," doctorul ",128.03125,821.359375,152.03125,897.234375,"","","",""
1426,"-2","7",927,153,"Nu","Cristina","trial"," simțit ",128.03125,926.4375,152.03125,978.859375,"","","",""
1476,"-2","7",949,153,"Nu","Cristina","trial"," simțit ",128.03125,926.4375,152.03125,978.859375,"","","",""
1526,"-2","7",969,153,"Nu","Cristina","trial"," simțit ",128.03125,926.4375,152.03125,978.859375,"","","",""
1576,"-2","8",995,153,"Nu","Cristina","trial"," mai ",128.03125,978.859375,152.03125,1015.125,"","","",""
1626,"-2","9",1016,153,"Nu","Cristina","trial"," bine ",128.03125,1015.125,152.03125,1056.796875,"","","",""
1676,"-2","9",1035,153,"Nu","Cristina","trial"," bine ",128.03125,1015.125,152.03125,1056.796875,"","","",""
1726,"-2","10",1061,153,"Nu","Cristina","trial"," după ",128.03125,1056.796875,152.03125,1104.84375,"","","",""
1776,"-2","10",1082,153,"Nu","Cristina","trial"," după ",128.03125,1056.796875,152.03125,1104.84375,"","","",""
1826,"-2","10",1102,153,"Nu","Cristina","trial"," după ",128.03125,1056.796875,152.03125,1104.84375,"","","",""
1883,"-2","11",1134,153,"Nu","Cristina","trial"," doar ",128.03125,1104.84375,152.03125,1149.03125,"","","",""
1926,"-2","12",1165,153,"Nu","Cristina","trial"," câteva ",128.03125,1149.03125,152.03125,1207.984375,"","","",""
1976,"-2","12",1180,153,"Nu","Cristina","trial"," câteva ",128.03125,1149.03125,152.03125,1207.984375,"","","",""
2026,"-2","13",1209,153,"Nu","Cristina","trial"," tratamente. ",128.03125,1207.984375,152.03125,1307.84375,"","","",""
2076,"-2","13",1236,153,"Nu","Cristina","trial"," tratamente. ",128.03125,1207.984375,152.03125,1307.84375,"","","",""
2126,"-2","13",1260,153,"Nu","Cristina","trial"," tratamente. ",128.03125,1207.984375,152.03125,1307.84375,"","","",""
2176,"-2","13",1277,153,"Nu","Cristina","trial"," tratamente. ",128.03125,1207.984375,152.03125,1307.84375,"","","",""
2226,"-2","13",1284,153,"Nu","Cristina","trial"," tratamente. ",128.03125,1207.984375,152.03125,1307.84375,"","","",""
2276,"-2","13",1294,153,"Nu","Cristina","trial"," tratamente. ",128.03125,1207.984375,152.03125,1307.84375,"","","",""
2326,"-2","13",1300,153,"Nu","Cristina","trial"," tratamente. ",128.03125,1207.984375,152.03125,1307.84375,"","","",""
2377,"-2","13",1297,156,"Nu","Cristina","trial"," tratamente. ",128.03125,1207.984375,152.03125,1307.84375,"","","",""
5272,"","","","","","","","","","","","","Da","","",""
604,"NA",-1,614,178,"NA","Cristina","","","","","","","","","",""
654,"-3","0",602,161,"Nu","Cristina","trial"," Soțul ",128.03125,595.625,152.03125,643.34375,"","","",""
704,"-3","0",598,151,"Nu","Cristina","trial"," Soțul ",128.03125,595.625,152.03125,643.34375,"","","",""
754,"-3","0",597,148,"Nu","Cristina","trial"," Soțul ",128.03125,595.625,152.03125,643.34375,"","","",""
804,"-3","0",597,148,"Nu","Cristina","trial"," Soțul ",128.03125,595.625,152.03125,643.34375,"","","",""
854,"-3","0",602,147,"Nu","Cristina","trial"," Soțul ",128.03125,595.625,152.03125,643.34375,"","","",""
904,"-3","0",616,149,"Nu","Cristina","trial"," Soțul ",128.03125,595.625,152.03125,643.34375,"","","",""
954,"-3","1",644,152,"Nu","Cristina","trial"," femeii ",128.03125,643.34375,152.03125,700.640625,"","","",""
1004,"-3","1",688,152,"Nu","Cristina","trial"," femeii ",128.03125,643.34375,152.03125,700.640625,"","","",""
1054,"-3","2",725,152,"Nu","Cristina","trial"," frumoase ",128.03125,700.640625,152.03125,786.671875,"","","",""
1104,"-3","2",745,152,"Nu","Cristina","trial"," frumoase ",128.03125,700.640625,152.03125,786.671875,"","","",""
1154,"-3","2",767,152,"Nu","Cristina","trial"," frumoase ",128.03125,700.640625,152.03125,786.671875,"","","",""
1205,"-3","3",806,154,"Nu","Cristina","trial"," i-a ",128.03125,786.671875,152.03125,811.890625,"","","",""
1254,"-3","4",838,155,"Nu","Cristina","trial"," cumpărat ",128.03125,811.890625,152.03125,898.015625,"","","",""
1304,"-3","4",859,155,"Nu","Cristina","trial"," cumpărat ",128.03125,811.890625,152.03125,898.015625,"","","",""
1354,"-3","4",882,155,"Nu","Cristina","trial"," cumpărat ",128.03125,811.890625,152.03125,898.015625,"","","",""
1404,"-3","4",896,155,"Nu","Cristina","trial"," cumpărat ",128.03125,811.890625,152.03125,898.015625,"","","",""
1454,"-3","5",912,155,"Nu","Cristina","trial"," flori ",128.03125,898.015625,152.03125,936.5,"","","",""
1504,"-3","5",929,156,"Nu","Cristina","trial"," flori ",128.03125,898.015625,152.03125,936.5,"","","",""
1554,"-3","7",960,156,"Nu","Cristina","trial"," bomboane ",128.03125,954.453125,152.03125,1051.265625,"","","",""
1604,"-3","7",1003,156,"Nu","Cristina","trial"," bomboane ",128.03125,954.453125,152.03125,1051.265625,"","","",""
1654,"-3","7",1037,156,"Nu","Cristina","trial"," bomboane ",128.03125,954.453125,152.03125,1051.265625,"","","",""
1704,"-3","9",1077,162,"Nu","Cristina","trial"," ziua ",128.03125,1077.171875,152.03125,1116.1875,"","","",""
1754,"NA",-1,1105,166,"NA","Cristina","","","","","","","","","",""
1804,"NA",-1,1117,166,"NA","Cristina","","","","","","","","","",""
1854,"NA",-1,1124,166,"NA","Cristina","","","","","","","","","",""
1904,"NA",-1,1129,164,"NA","Cristina","","","","","","","","","",""
1954,"-3","10",1135,156,"Nu","Cristina","trial"," ei. ",128.03125,1116.1875,152.03125,1135.8125,"","","",""
2004,"NA",-1,1138,153,"NA","Cristina","","","","","","","","","",""
2054,"NA",-1,1138,153,"NA","Cristina","","","","","","","","","",""
2105,"NA",-1,1136,165,"NA","Cristina","","","","","","","","","",""
4576,"","","","","","","","","","","","","Nu","","",""
328,"NA",-1,692,284,"NA","Cristina","","","","","","","","","",""
378,"100","25",679,260,"Nu","Cristina","local_coherence"," și ",238.03125,667.703125,262.03125,685.65625,"","","",""
428,"100","25",667,242,"Nu","Cristina","local_coherence"," și ",238.03125,667.703125,262.03125,685.65625,"","","",""
478,"NA",-1,645,227,"NA","Cristina","","","","","","","","","",""
528,"100","13",615,196,"Nu","Cristina","local_coherence"," Laminariales), ",183.03125,595.625,207.03125,718.359375,"","","",""
578,"NA",-1,590,163,"NA","Cristina","","","","","","","","","",""
628,"NA",-1,585,153,"NA","Cristina","","","","","","","","","",""
678,"NA",-1,585,148,"NA","Cristina","","","","","","","","","",""
728,"NA",-1,585,147,"NA","Cristina","","","","","","","","","",""
778,"NA",-1,593,145,"NA","Cristina","","","","","","","","","",""
828,"100","0",605,145,"Nu","Cristina","local_coherence"," Majoritatea ",128.03125,595.625,152.03125,697.6875,"","","",""
878,"100","0",630,145,"Nu","Cristina","local_coherence"," Majoritatea ",128.03125,595.625,152.03125,697.6875,"","","",""
928,"100","0",658,145,"Nu","Cristina","local_coherence"," Majoritatea ",128.03125,595.625,152.03125,697.6875,"","","",""
978,"100","1",702,145,"Nu","Cristina","local_coherence"," algelor ",128.03125,697.6875,152.03125,761.3125,"","","",""
1028,"100","1",720,143,"Nu","Cristina","local_coherence"," algelor ",128.03125,697.6875,152.03125,761.3125,"","","",""
1078,"100","1",742,143,"Nu","Cristina","local_coherence"," algelor ",128.03125,697.6875,152.03125,761.3125,"","","",""
1128,"100","2",763,143,"Nu","Cristina","local_coherence"," marine, ",128.03125,761.3125,152.03125,831.109375,"","","",""
1178,"100","2",785,143,"Nu","Cristina","local_coherence"," marine, ",128.03125,761.3125,152.03125,831.109375,"","","",""
1228,"100","2",812,143,"Nu","Cristina","local_coherence"," marine, ",128.03125,761.3125,152.03125,831.109375,"","","",""
1278,"100","3",834,146,"Nu","Cristina","local_coherence"," cum ",128.03125,831.109375,152.03125,872.390625,"","","",""
1328,"100","3",852,150,"Nu","Cristina","local_coherence"," cum ",128.03125,831.109375,152.03125,872.390625,"","","",""
