sentenceIndex,totalReadingTime,Index,Word
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,650,0.0, Maya 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,347,2.0, jucat 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,249,3.0, cu 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,297,4.0, cuburile 
-1.0,56,5.0, și 
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,348,6.0," mingile, "
-1.0,0,7.0, dar 
-1.0,0,7.0, dar 
-1.0,0,7.0, dar 
-1.0,203,7.0, dar 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,746,9.0, plictisit 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,352,10.0, repede 
-1.0,0,11.0, de 
-1.0,0,11.0, de 
-1.0,151,11.0, de 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,94,12.0, ele. 
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,-4181,,
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,655,0.0, Pacientul 
-2.0,0,1.0, pe 
-2.0,0,1.0, pe 
-2.0,0,1.0, pe 
-2.0,0,1.0, pe 
-2.0,250,1.0, pe 
-2.0,0,2.0, care 
-2.0,0,2.0, care 
-2.0,0,2.0, care 
-2.0,200,2.0, care 
-2.0,0,3.0, l-a 
-2.0,98,3.0, l-a 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,294,4.0, tratat 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,158,5.0, doctorul 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,849,6.0, s-a 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,296,7.0, simțit 
-2.0,0,8.0, mai 
