sentenceIndex,totalReadingTime,Index,Word
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,499,0.0, Maya 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,152,1.0, s-a 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,597,2.0, jucat 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,0,3.0, cu 
-1.0,497,3.0, cu 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,1204,4.0, cuburile 
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,897,6.0," mingile, "
-1.0,0,7.0, dar 
-1.0,0,7.0, dar 
-1.0,154,7.0, dar 
-1.0,0,8.0, s-a 
-1.0,0,8.0, s-a 
-1.0,0,8.0, s-a 
-1.0,0,8.0, s-a 
-1.0,250,8.0, s-a 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,149,9.0, plictisit 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,452,10.0, repede 
-1.0,48,11.0, de 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,95,12.0, ele. 
,0,,
,-7009,,
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
