sentenceIndex,totalReadingTime,Index,Word
-1.0,0,1.0, s-a 
,0,-1.0,
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,1304,1.0, s-a 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,0,0.0, Maya 
-1.0,297,0.0, Maya 
-1.0,0,1.0, s-a 
-1.0,0,1.0, s-a 
-1.0,153,1.0, s-a 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,0,2.0, jucat 
-1.0,200,2.0, jucat 
-1.0,0,3.0, cu 
-1.0,104,3.0, cu 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,0,4.0, cuburile 
-1.0,400,4.0, cuburile 
-1.0,0,5.0, și 
-1.0,100,5.0, și 
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,0,6.0," mingile, "
-1.0,300,6.0," mingile, "
-1.0,0,7.0, dar 
-1.0,0,7.0, dar 
-1.0,0,7.0, dar 
-1.0,193,7.0, dar 
-1.0,0,8.0, s-a 
-1.0,107,8.0, s-a 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,0,9.0, plictisit 
-1.0,343,9.0, plictisit 
-1.0,0,10.0, repede 
-1.0,0,10.0, repede 
-1.0,156,10.0, repede 
-1.0,46,11.0, de 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,0,12.0, ele. 
-1.0,-3311,12.0, ele. 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,0,0.0, Pacientul 
-2.0,899,0.0, Pacientul 
-2.0,0,1.0, pe 
-2.0,0,1.0, pe 
-2.0,155,1.0, pe 
-2.0,0,2.0, care 
-2.0,0,2.0, care 
-2.0,0,2.0, care 
-2.0,200,2.0, care 
-2.0,0,3.0, l-a 
-2.0,96,3.0, l-a 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,300,4.0, tratat 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,505,5.0, doctorul 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,0,4.0, tratat 
-2.0,391,4.0, tratat 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,0,5.0, doctorul 
-2.0,400,5.0, doctorul 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,208,6.0, s-a 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,300,7.0, simțit 
-2.0,0,8.0, mai 
-2.0,0,8.0, mai 
-2.0,142,8.0, mai 
-2.0,0,9.0, bine 
-2.0,0,9.0, bine 
-2.0,0,9.0, bine 
-2.0,201,9.0, bine 
-2.0,0,10.0, după 
-2.0,0,10.0, după 
-2.0,0,10.0, după 
-2.0,203,10.0, după 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,249,11.0, doar 
-2.0,0,12.0, câteva 
-2.0,0,12.0, câteva 
-2.0,0,12.0, câteva 
-2.0,201,12.0, câteva 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,696,13.0, tratamente. 
,0,,
,0,,
,0,,
,0,,
,0,,
,-5258,,
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,1052,0.0, Soțul 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,298,1.0, femeii 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,651,2.0, frumoase 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
