totalReadingTime,Index,Word
0,,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
0,-1.0,
3033,-1.0,
0,0.0,Este
0,0.0,Este
0,0.0,Este
0,0.0,Este
269,0.0,Este
0,1.0,clar
0,1.0,clar
0,1.0,clar
0,1.0,clar
0,1.0,clar
0,1.0,clar
0,1.0,clar
0,1.0,clar
0,1.0,clar
551,1.0,clar
65,2.0,că
0,3.0,este
0,3.0,este
0,3.0,este
0,3.0,este
0,3.0,este
0,3.0,este
0,3.0,este
0,3.0,este
0,3.0,este
0,3.0,este
0,3.0,este
651,3.0,este
0,4.0,nevoie
0,4.0,nevoie
0,4.0,nevoie
0,4.0,nevoie
0,4.0,nevoie
317,4.0,nevoie
0,5.0,de
0,5.0,de
0,5.0,de
231,5.0,de
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
0,7.0,structură
803,7.0,structură
0,8.0,diferită
0,8.0,diferită
0,8.0,diferită
0,8.0,diferită
0,8.0,diferită
0,8.0,diferită
0,8.0,diferită
495,8.0,diferită
0,9.0,a
124,9.0,a
0,10.0,"cărților,"
0,10.0,"cărților,"
0,10.0,"cărților,"
0,10.0,"cărților,"
0,10.0,"cărților,"
0,10.0,"cărților,"
0,10.0,"cărților,"
491,10.0,"cărților,"
0,11.0,deoarece
0,11.0,deoarece
0,11.0,deoarece
0,11.0,deoarece
0,11.0,deoarece
0,11.0,deoarece
373,11.0,deoarece
0,12.0,acestea
0,12.0,acestea
0,12.0,acestea
0,12.0,acestea
0,12.0,acestea
0,12.0,acestea
0,12.0,acestea
0,12.0,acestea
0,12.0,acestea
549,12.0,acestea
0,13.0,sunt
0,-1.0,sunt
0,-1.0,sunt
0,-1.0,sunt
0,-1.0,sunt
319,13.0,sunt
64,12.0,acestea
0,26.0,"urmare,"
0,-1.0,"urmare,"
167,-1.0,"urmare,"
0,33.0,liniar.
0,-1.0,liniar.
152,-1.0,liniar.
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
0,14.0,destinate
1273,14.0,destinate
0,15.0,să
0,15.0,să
0,15.0,să
247,15.0,să
0,16.0,fie
123,16.0,fie
0,17.0,(cel
0,17.0,(cel
0,17.0,(cel
246,17.0,(cel
0,18.0,puțin
0,18.0,puțin
185,18.0,puțin
0,19.0,în
0,19.0,în
184,19.0,în
0,20.0,cele
0,20.0,cele
0,20.0,cele
0,20.0,cele
311,20.0,cele
0,21.0,din
0,21.0,din
0,21.0,din
0,21.0,din
307,21.0,din
0,22.0,urmă)
0,22.0,urmă)
0,22.0,urmă)
0,22.0,urmă)
0,22.0,urmă)
369,22.0,urmă)
0,23.0,tipărite
0,23.0,tipărite
0,23.0,tipărite
0,23.0,tipărite
0,23.0,tipărite
0,23.0,tipărite
0,23.0,tipărite
0,23.0,tipărite
0,23.0,tipărite
617,23.0,tipărite
0,24.0,"și,"
123,24.0,"și,"
0,25.0,prin
0,25.0,prin
0,25.0,prin
0,25.0,prin
311,25.0,prin
0,26.0,"urmare,"
0,26.0,"urmare,"
0,26.0,"urmare,"
236,26.0,"urmare,"
51,27.0,ar
0,28.0,trebui
0,28.0,trebui
0,28.0,trebui
0,28.0,trebui
0,28.0,trebui
0,28.0,trebui
0,28.0,trebui
0,28.0,trebui
481,28.0,trebui
50,29.0,să
0,30.0,aibă
0,30.0,aibă
0,30.0,aibă
0,30.0,aibă
0,30.0,aibă
0,-1.0,aibă
0,-1.0,aibă
0,-1.0,aibă
0,-1.0,aibă
585,-1.0,aibă
50,33.0,liniar.
67,32.0,stil
0,31.0,un
0,31.0,un
0,31.0,un
