responseTime,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
,,,,,,,,,,,,
1799,-1,347,230,NA,NA,NA,NA,NA,NA,1740035208062,1740039019278,3811216
1984,-1,340,169,NA,NA,NA,NA,NA,NA,null,null,null
2044,-1,350,148,NA,NA,NA,NA,NA,NA,null,null,null
2106,-1,355,138,NA,NA,NA,NA,NA,NA,null,null,null
2168,-1,356,138,NA,NA,NA,NA,NA,NA,null,null,null
2229,-1,361,135,NA,NA,NA,NA,NA,NA,null,null,null
2291,-1,364,134,NA,NA,NA,NA,NA,NA,null,null,null
2355,-1,364,134,NA,NA,NA,NA,NA,NA,null,null,null
2417,-1,364,134,NA,NA,NA,NA,NA,NA,null,null,null
2477,-1,364,134,NA,NA,NA,NA,NA,NA,null,null,null
2538,-1,364,134,NA,NA,NA,NA,NA,NA,null,null,null
2600,-1,364,134,NA,NA,NA,NA,NA,NA,null,null,null
2662,-1,364,134,NA,NA,NA,NA,NA,NA,null,null,null
2724,-1,367,133,NA,NA,NA,NA,NA,NA,null,null,null
2785,-1,381,130,NA,NA,NA,NA,NA,NA,null,null,null
2847,-1,386,129,NA,NA,NA,NA,NA,NA,null,null,null
2909,-1,397,126,NA,NA,NA,NA,NA,NA,null,null,null
2971,-1,403,125,NA,NA,NA,NA,NA,NA,null,null,null
3033,0,410,123,Este,109.16667175293,407.466674804688,133.966659545898,447.416687011719,NA,null,null,null
3086,0,422,121,Este,109.16667175293,407.466674804688,133.966659545898,447.416687011719,NA,null,null,null
3136,0,429,120,Este,109.16667175293,407.466674804688,133.966659545898,447.416687011719,NA,null,null,null
3186,0,430,120,Este,109.16667175293,407.466674804688,133.966659545898,447.416687011719,NA,null,null,null
3237,0,442,120,Este,109.16667175293,407.466674804688,133.966659545898,447.416687011719,NA,null,null,null
3302,1,457,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3352,1,468,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3404,1,473,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3455,1,473,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3520,1,473,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3587,1,473,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3637,1,475,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3687,1,475,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3738,1,475,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3803,1,478,120,clar,109.16667175293,447.416687011719,133.966659545898,482.916687011719,NA,null,null,null
3853,2,487,120,că,109.16667175293,482.916687011719,133.966659545898,506.333343505859,NA,null,null,null
3918,3,512,123,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
3971,3,518,123,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4020,3,519,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4071,3,519,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4137,3,519,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4188,3,519,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4238,3,519,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4287,3,519,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4337,3,519,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4387,3,519,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4452,3,521,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4518,3,532,124,este,109.16667175293,506.333312988281,133.966659545898,546.433319091797,NA,null,null,null
4569,4,558,124,nevoie,109.16667175293,546.433349609375,133.966659545898,606.866683959961,NA,null,null,null
4619,4,570,124,nevoie,109.16667175293,546.433349609375,133.966659545898,606.866683959961,NA,null,null,null
4670,4,576,124,nevoie,109.16667175293,546.433349609375,133.966659545898,606.866683959961,NA,null,null,null
4735,4,590,124,nevoie,109.16667175293,546.433349609375,133.966659545898,606.866683959961,NA,null,null,null
4786,4,597,124,nevoie,109.16667175293,546.433349609375,133.966659545898,606.866683959961,NA,null,null,null
4836,4,601,124,nevoie,109.16667175293,546.433349609375,133.966659545898,606.866683959961,NA,null,null,null
4886,5,607,124,de,109.16667175293,606.86669921875,133.966659545898,632.766693115234,NA,null,null,null
4937,5,617,124,de,109.16667175293,606.86669921875,133.966659545898,632.766693115234,NA,null,null,null
4987,5,618,124,de,109.16667175293,606.86669921875,133.966659545898,632.766693115234,NA,null,null,null
5052,5,623,124,de,109.16667175293,606.86669921875,133.966659545898,632.766693115234,NA,null,null,null
5117,7,651,127,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5179,7,669,131,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5241,7,669,131,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5302,7,673,132,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5364,7,690,135,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5425,7,696,136,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5487,7,706,136,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5548,7,710,136,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5610,7,714,136,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5670,7,718,136,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5732,7,721,136,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
5793,7,723,136,structură,109.16667175293,648.333312988281,133.966659545898,730.099990844727,NA,null,null,null
