responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,experiment,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
764,"NA",-1,393,113,"NA","cris","","","","","","","",1745754981757,1745755032661,50904
826,"NA",-1,386,99,"NA","cris","","","","","","","","","",""
888,"NA",-1,392,96,"NA","cris","","","","","","","","","",""
950,"-1","0",404,91,"Da","cris","trial"," Maya ",71.35000610351562,399.066650390625,96.14999389648438,449.4666442871094,"","","",""
1013,"-1","0",415,90,"Da","cris","trial"," Maya ",71.35000610351562,399.066650390625,96.14999389648438,449.4666442871094,"","","",""
1075,"-1","0",436,90,"Da","cris","trial"," Maya ",71.35000610351562,399.066650390625,96.14999389648438,449.4666442871094,"","","",""
1138,"-1","1",462,90,"Da","cris","trial"," s-a ",71.35000610351562,449.4666748046875,96.14999389648438,478.66668701171875,"","","",""
1201,"-1","2",519,90,"Da","cris","trial"," jucat ",71.35000610351562,478.66668701171875,96.14999389648438,524.3500213623047,"","","",""
1264,"-1","4",553,90,"Da","cris","trial"," cuburile ",71.35000610351562,548.7833251953125,96.14999389648438,622.2833251953125,"","","",""
1326,"-1","4",568,90,"Da","cris","trial"," cuburile ",71.35000610351562,548.7833251953125,96.14999389648438,622.2833251953125,"","","",""
1388,"-1","4",584,90,"Da","cris","trial"," cuburile ",71.35000610351562,548.7833251953125,96.14999389648438,622.2833251953125,"","","",""
1450,"-1","4",607,90,"Da","cris","trial"," cuburile ",71.35000610351562,548.7833251953125,96.14999389648438,622.2833251953125,"","","",""
1511,"-1","6",654,90,"Da","cris","trial"," mingile, ",71.35000610351562,640.2333374023438,96.14999389648438,712.8500061035156,"","","",""
1575,"-1","6",711,90,"Da","cris","trial"," mingile, ",71.35000610351562,640.2333374023438,96.14999389648438,712.8500061035156,"","","",""
1637,"-1","8",765,90,"Da","cris","trial"," s-a ",71.35000610351562,746.13330078125,96.14999389648438,775.3332977294922,"","","",""
1699,"-1","9",807,87,"Da","cris","trial"," plictisit ",71.35000610351562,775.3333129882812,96.14999389648438,839.9333190917969,"","","",""
1761,"-1","10",845,85,"Da","cris","trial"," repede ",71.35000610351562,839.933349609375,96.14999389648438,904.2666778564453,"","","",""
1822,"-1","10",886,85,"Da","cris","trial"," repede ",71.35000610351562,839.933349609375,96.14999389648438,904.2666778564453,"","","",""
1884,"-1","11",916,85,"Da","cris","trial"," de ",71.35000610351562,904.2666625976562,96.14999389648438,930.1666717529297,"","","",""
1947,"-1","12",936,89,"Da","cris","trial"," ele. ",71.35000610351562,930.1666870117188,96.14999389648438,959.933349609375,"","","",""
2009,"-1","12",950,103,"Da","cris","trial"," ele. ",71.35000610351562,930.1666870117188,96.14999389648438,959.933349609375,"","","",""
2072,"NA",-1,948,119,"NA","cris","","","","","","","","","",""
5310,"","","","","","","","","","","","","Nu","","",""
392,"NA",-1,438,166,"NA","cris","","","","","","","","","",""
455,"NA",-1,433,158,"NA","cris","","","","","","","","","",""
517,"-2","0",425,137,"Nu","cris","trial"," Pacientul ",116.66667175292969,407.4666748046875,141.46665954589844,489.95001220703125,"","","",""
581,"-2","0",421,126,"Nu","cris","trial"," Pacientul ",116.66667175292969,407.4666748046875,141.46665954589844,489.95001220703125,"","","",""
644,"-2","0",446,125,"Nu","cris","trial"," Pacientul ",116.66667175292969,407.4666748046875,141.46665954589844,489.95001220703125,"","","",""
708,"-2","1",505,140,"Nu","cris","trial"," pe ",116.66667175292969,489.95001220703125,141.46665954589844,515.8500213623047,"","","",""
770,"-2","2",538,142,"Nu","cris","trial"," care ",116.66667175292969,515.8499755859375,141.46665954589844,556.4833068847656,"","","",""
832,"-2","4",607,142,"Nu","cris","trial"," tratat ",116.66667175292969,581.7166748046875,141.46665954589844,633.1666870117188,"","","",""
895,"-2","5",667,142,"Nu","cris","trial"," doctorul ",116.66667175292969,633.1666870117188,141.46665954589844,709.0166778564453,"","","",""
957,"-2","7",768,142,"Nu","cris","trial"," simțit ",116.66667175292969,738.2166748046875,141.46665954589844,790.6500091552734,"","","",""
1018,"-2","9",852,142,"Nu","cris","trial"," bine ",116.66667175292969,826.9166870117188,141.46665954589844,868.5833435058594,"","","",""
1081,"-2","11",947,142,"Nu","cris","trial"," doar ",116.66667175292969,916.61669921875,141.46665954589844,960.7833709716797,"","","",""
1142,"-2","12",994,143,"Nu","cris","trial"," câteva ",116.66667175292969,960.7833251953125,141.46665954589844,1019.7499847412109,"","","",""
1204,"NA",-1,1043,152,"NA","cris","","","","","","","","","",""
1267,"NA",-1,1077,152,"NA","cris","","","","","","","","","",""
1330,"NA",-1,1080,152,"NA","cris","","","","","","","","","",""
1392,"NA",-1,1074,161,"NA","cris","","","","","","","","","",""
2777,"","","","","","","","","","","","","Da","","",""
439,"NA",-1,425,162,"NA","cris","","","","","","","","","",""
503,"-3","0",425,151,"Nu","cris","trial"," Soțul ",116.66667175292969,407.4666748046875,141.46665954589844,455.183349609375,"","","",""
565,"-3","0",426,148,"Nu","cris","trial"," Soțul ",116.66667175292969,407.4666748046875,141.46665954589844,455.183349609375,"","","",""
627,"-3","0",430,143,"Nu","cris","trial"," Soțul ",116.66667175292969,407.4666748046875,141.46665954589844,455.183349609375,"","","",""
688,"-3","0",453,140,"Nu","cris","trial"," Soțul ",116.66667175292969,407.4666748046875,141.46665954589844,455.183349609375,"","","",""
749,"-3","1",490,140,"Nu","cris","trial"," femeii ",116.66667175292969,455.183349609375,141.46665954589844,512.5000152587891,"","","",""
811,"-3","2",578,140,"Nu","cris","trial"," frumoase ",116.66667175292969,512.5,141.46665954589844,598.5166625976562,"","","",""
873,"-3","4",651,140,"Nu","cris","trial"," cumpărat ",116.66667175292969,623.75,141.46665954589844,709.8500061035156,"","","",""
935,"-3","4",709,140,"Nu","cris","trial"," cumpărat ",116.66667175292969,623.75,141.46665954589844,709.8500061035156,"","","",""
999,"-3","7",778,140,"Nu","cris","trial"," bomboane ",116.66667175292969,766.2833251953125,141.46665954589844,863.066650390625,"","","",""
1060,"-3","7",848,140,"Nu","cris","trial"," bomboane ",116.66667175292969,766.2833251953125,141.46665954589844,863.066650390625,"","","",""
1122,"-3","9",906,140,"Nu","cris","trial"," ziua ",116.66667175292969,888.9666748046875,141.46665954589844,927.9833526611328,"","","",""
1184,"-3","9",922,140,"Nu","cris","trial"," ziua ",116.66667175292969,888.9666748046875,141.46665954589844,927.9833526611328,"","","",""
1245,"NA",-1,923,158,"NA","cris","","","","","","","","","",""
2680,"","","","","","","","","","","","","Nu","","",""
317,"22","30",484,255,"Nu","cris","local_coherence"," în ",226.6666717529297,482.79998779296875,251.46665954589844,503.24998474121094,"","","",""
379,"NA",-1,454,217,"NA","cris","","","","","","","","","",""
442,"22","15",426,178,"Nu","cris","local_coherence"," este ",171.6666717529297,407.4666748046875,196.46665954589844,447.5666809082031,"","","",""
503,"NA",-1,406,148,"NA","cris","","","","","","","","","",""
566,"NA",-1,405,133,"NA","cris","","","","","","","","","",""
628,"22","0",410,131,"Nu","cris","local_coherence"," Cu ",116.66667175292969,407.4666748046875,141.46665954589844,434.65000915527344,"","","",""
691,"22","0",430,130,"Nu","cris","local_coherence"," Cu ",116.66667175292969,407.4666748046875,141.46665954589844,434.65000915527344,"","","",""
752,"22","1",478,139,"Nu","cris","local_coherence"," toate ",116.66667175292969,434.6499938964844,141.46665954589844,483.46665954589844,"","","",""
814,"22","2",546,143,"Nu","cris","local_coherence"," acestea, ",116.66667175292969,483.4666748046875,141.46665954589844,557.2166748046875,"","","",""
876,"22","3",587,141,"Nu","cris","local_coherence"," dacă ",116.66667175292969,557.2166748046875,141.46665954589844,601.8000183105469,"","","",""
939,"22","4",639,138,"Nu","cris","local_coherence"," programul ",116.66667175292969,601.7999877929688,141.46665954589844,696.3333129882812,"","","",""
1003,"22","4",695,138,"Nu","cris","local_coherence"," programul ",116.66667175292969,601.7999877929688,141.46665954589844,696.3333129882812,"","","",""
1065,"22","7",782,138,"Nu","cris","local_coherence"," fel ",116.66667175292969,763.3499755859375,141.46665954589844,789.0333099365234,"","","",""
1128,"22","9",818,138,"Nu","cris","local_coherence"," editor ",116.66667175292969,814.933349609375,141.46665954589844,870.3000183105469,"","","",""
1190,"22","10",892,138,"Nu","cris","local_coherence"," care ",116.66667175292969,870.2999877929688,141.46665954589844,910.9333190917969,"","","",""
1252,"22","11",934,135,"Nu","cris","local_coherence"," rulează ",116.66667175292969,910.933349609375,141.46665954589844,977.6333465576172,"","","",""
1314,"22","12",982,134,"Nu","cris","local_coherence"," pe ",116.66667175292969,977.63330078125,141.46665954589844,1003.5333099365234,"","","",""
1377,"22","14",1041,134,"Nu","cris","local_coherence"," desktop, ",116.66667175292969,1030.449951171875,141.46665954589844,1103.1666259765625,"","","",""
