responseTime,Index,mousePositionX,mousePositionY,TrueAnswer,userName,sentenceIndex,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
765,-1,36,142,"No answer found","Cristina","","","","","","","",1743007442122,1743007464562,22440
817,-1,47,120,"No answer found","Cristina","","","","","","","","","",""
864,-1,60,118,"No answer found","Cristina","","","","","","","","","",""
915,-1,72,115,"No answer found","Cristina","","","","","","","","","",""
969,-1,90,111,"No answer found","Cristina","","","","","","","","","",""
1017,"0",117,101,"Da","Cristina","47"," Este ",85.9375,97.4625015258789,110.73750114440918,137.4250030517578,"","","",""
1065,"1",142,95,"Da","Cristina","47"," utilizat ",85.9375,137.4250030517578,110.73750114440918,198.72500228881836,"","","",""
1114,"1",173,95,"Da","Cristina","47"," utilizat ",85.9375,137.4250030517578,110.73750114440918,198.72500228881836,"","","",""
1164,"3",239,100,"Da","Cristina","47"," sistemul ",85.9375,224.6374969482422,110.73750114440918,300.4625015258789,"","","",""
1220,"4",307,100,"Da","Cristina","47"," imunitar, ",85.9375,300.4624938964844,110.73750114440918,379.4874954223633,"","","",""
1264,"4",360,100,"Da","Cristina","47"," imunitar, ",85.9375,300.4624938964844,110.73750114440918,379.4874954223633,"","","",""
1321,"5",396,100,"Da","Cristina","47"," pentru ",85.9375,379.4875183105469,110.73750114440918,441.5750198364258,"","","",""
1369,"5",413,100,"Da","Cristina","47"," pentru ",85.9375,379.4875183105469,110.73750114440918,441.5750198364258,"","","",""
1417,"6",455,102,"Da","Cristina","47"," sinteza ",85.9375,441.57501220703125,110.73750114440918,505.67501068115234,"","","",""
1465,"6",479,102,"Da","Cristina","47"," sinteza ",85.9375,441.57501220703125,110.73750114440918,505.67501068115234,"","","",""
1516,"6",495,102,"Da","Cristina","47"," sinteza ",85.9375,441.57501220703125,110.73750114440918,505.67501068115234,"","","",""
1574,"7",512,104,"Da","Cristina","47"," ADN-ului, ",85.9375,505.6750183105469,110.73750114440918,590.837516784668,"","","",""
1617,"7",515,104,"Da","Cristina","47"," ADN-ului, ",85.9375,505.6750183105469,110.73750114440918,590.837516784668,"","","",""
1664,"7",536,103,"Da","Cristina","47"," ADN-ului, ",85.9375,505.6750183105469,110.73750114440918,590.837516784668,"","","",""
1716,"7",587,95,"Da","Cristina","47"," ADN-ului, ",85.9375,505.6750183105469,110.73750114440918,590.837516784668,"","","",""
1769,"8",616,91,"Da","Cristina","47"," pentru ",85.9375,590.8375244140625,110.73750114440918,652.9250259399414,"","","",""
1817,"8",645,91,"Da","Cristina","47"," pentru ",85.9375,590.8375244140625,110.73750114440918,652.9250259399414,"","","",""
1864,"9",699,91,"Da","Cristina","47"," vindecarea ",85.9375,652.9249877929688,110.73750114440918,749.8124923706055,"","","",""
1915,"9",744,90,"Da","Cristina","47"," vindecarea ",85.9375,652.9249877929688,110.73750114440918,749.8124923706055,"","","",""
1973,"9",748,89,"Da","Cristina","47"," vindecarea ",85.9375,652.9249877929688,110.73750114440918,749.8124923706055,"","","",""
2023,"9",748,89,"Da","Cristina","47"," vindecarea ",85.9375,652.9249877929688,110.73750114440918,749.8124923706055,"","","",""
2071,"9",748,89,"Da","Cristina","47"," vindecarea ",85.9375,652.9249877929688,110.73750114440918,749.8124923706055,"","","",""
2118,"10",769,89,"Da","Cristina","47"," rănilor ",85.9375,749.8125,110.73750114440918,805.7250022888184,"","","",""
2266,"10",774,108,"Da","Cristina","47"," rănilor ",85.9375,749.8125,110.73750114440918,805.7250022888184,"","","",""
2318,"8",625,120,"Da","Cristina","47"," pentru ",85.9375,590.8375244140625,110.73750114440918,652.9250259399414,"","","",""
